[2026-04-15 16:21:31] [FOLDER DELETE] Attempting: D:\wamp64\www\zzz | exists=YES
[2026-04-15 16:21:35] [FOLDER DELETE] Result: GONE | rmdir_return=true
[2026-04-15 17:26:01] [FOLDER DELETE] Attempting: D:\wamp64\www\zxc | exists=YES
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\06b565725162221587911c44e848a5158b5715 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\0c2480a26e5b88a28f87390b7f87aeef44c9a1 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\26b1f11fa169cd2799cbedbed95fcf2986bc21 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\2fd497d179821799819e2b3fc3c9c4e7004aa6 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\75230f4320fd818d72b47e275983f0cad7617a | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\78169d642ed9e0b5e3d006aefcb313e8be90c8 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\920ee5e1151484926e80c5fa49f840cf893312 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\993aef3d92b662f02f2768394879be5eff9550 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\a447f09d063c4729c700b0f120d9e80f63089d | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\abe9bbc8846d6975502f81d031c4143bed038f | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\bb4bf0307d7875b6cec74b174a320686d4070d | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\c42f1eb48543422065f08a60316d7099d44459 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\ee43dd17da126049cbff9382a637bbe2a2ff17 | error=unknown
[2026-04-15 17:26:01] [UNLINK FAIL] D:\wamp64\www\zxc\.git\objects\00\f2b48692a241180890e6839ca32028f304cee3 | error=unknown
